8:00 AM to 8:59 AM,,TO,,,,,,,,,,,
,Station,CCG,MCT,DDR,BA,ADH,GMN,BVI,BYR,BSR,VR,DRD,,Total Sevices in an hour
FROM,CCG,0,28,28,28,26,14,20,9,9,8,1,,28
,MCT,29,0,27,27,25,14,19,8,8,7,1,,56
,DDR,30,30,0,32,28,16,22,10,10,9,0,,62
,BA,28,28,29,0,30,16,24,15,11,10,1,,59
,ADH,29,29,30,32,0,16,28,18,14,14,1,,60
,GMN,19,19,19,21,20,0,12,4,2,2,0,,33
,BVI,21,21,21,23,26,17,0,16,16,14,1,,42
,BYR,12,12,13,14,17,5,18,0,16,14,2,,34
,BSR,10,10,11,11,12,3,13,15,0,16,1,,31
,VR,8,8,9,9,10,4,12,12,12,0,1,,13
,DRD,0,0,0,0,0,0,1,1,1,2,0,,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9:00 AM to 9:59 AM,,TO,,,,,,,,,,,
,Station,CCG,MCT,DDR,BA,ADH,GMN,BVI,BYR,BSR,VR,DRD,,Total Sevices in an hour
FROM,CCG,0,32,32,32,29,15,22,8,7,6,0,,32
,MCT,31,0,33,33,31,15,23,10,9,8,1,,64
,DDR,31,31,0,32,30,15,23,10,10,9,1,,63
,BA,32,32,33,0,30,17,22,9,9,8,1,,63
,ADH,28,28,30,30,0,18,25,12,12,10,1,,55
,GMN,20,20,20,20,21,0,12,3,2,2,0,,33
,BVI,21,21,22,22,25,16,0,18,15,14,1,,43
,BYR,9,9,11,11,13,3,16,0,15,14,1,,31
,BSR,8,8,9,9,12,2,16,17,0,14,1,,31
,VR,6,6,7,7,10,0,14,15,15,0,2,,17
,DRD,0,0,0,0,0,0,0,0,0,1,0,,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10:00 AM to 11:00 AM,,TO,,,,,,,,,,,
,Station,CCG,MCT,DDR,BA,ADH,GMN,BVI,BYR,BSR,VR,DRD,,Total Sevices in an hour
FROM,CCG,0,34,32,32,32,16,24,9,7,6,1,,34
,MCT,34,0,30,30,30,15,22,7,5,4,1,,34
,DDR,36,36,0,31,31,15,23,8,7,6,1,,67
,BA,34,34,36,0,30,14,22,7,6,6,1,,36
,ADH,32,32,33,33,0,16,26,11,10,9,1,,59
,GMN,18,18,18,18,19,0,11,2,1,1,1,,30
,BVI,26,26,26,26,29,17,0,17,15,13,2,,46
,BYR,11,11,11,12,15,3,18,0,14,11,1,,32
,BSR,7,7,8,8,12,4,12,13,0,14,1,,27
,VR,7,7,8,8,10,2,10,12,12,0,1,,13
,DRD,0,0,0,0,0,0,0,0,0,2,0,,2
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Difference between 8:00AM to 8:59AM and 9:00 AM to 9:59AM,,,,,,,,,,,,,
,CCG,0,4,4,4,3,1,2,-1,-2,-2,-1,,
,MCT,2,0,6,6,6,1,4,2,1,1,0,,
,DDR,1,1,0,0,2,-1,1,0,0,0,1,,
,BA,4,4,4,0,0,1,-2,-6,-2,-2,0,,
,ADH,-1,-1,0,-2,0,2,-3,-6,-2,-4,0,,
,GMN,1,1,1,-1,1,0,0,-1,0,0,0,,
,BVI,0,0,1,-1,-1,-1,0,2,-1,0,0,,
,BYR,-3,-3,-2,-3,-4,-2,-2,0,-1,0,-1,,
,BSR,-2,-2,-2,-2,0,-1,3,2,0,-2,0,,
,VR,-2,-2,-2,-2,0,-4,2,3,3,0,1,,
,DRD,0,0,0,0,0,0,-1,-1,-1,-1,0,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Difference between 9:00AM to 9:59AM and 10:00 AM to 10:59AM,,,,,,,,,,,,,
,CCG,0,2,0,0,3,1,2,1,0,0,1,,
,MCT,3,0,-3,-3,-1,0,-1,-3,-4,-4,0,,
,DDR,5,5,0,-1,1,0,0,-2,-3,-3,0,,
,BA,2,2,3,0,0,-3,0,-2,-3,-2,0,,
,ADH,4,4,3,3,0,-2,1,-1,-2,-1,0,,
,GMN,-2,-2,-2,-2,-2,0,-1,-1,-1,-1,1,,
,BVI,5,5,4,4,4,1,0,-1,0,-1,1,,
,BYR,2,2,0,1,2,0,2,0,-1,-3,0,,
,BSR,-1,-1,-1,-1,0,2,-4,-4,0,0,0,,
,VR,1,1,1,1,0,2,-4,-3,-3,0,-1,,
,DRD,0,0,0,0,0,0,0,0,0,1,0,,
